ticker,signal_date,system,pattern_family,A_sobreventa_estructural,B_rebote_suave,D_pullback_controlado,E_microcorreccion_compresion,rsi14,atr14,dist_ema20_atr,dist_bb_lo_atr,body_atr_ratio,wick_low_atr_ratio,bb_width,dist_ema20_pct,dist_ema50_pct,roc10,vol_zscore10,trend_regime,market_bucket,is_trend_up,is_trend_down,is_trend_range,is_supersignal_v40,supersignal_tipo_v40,is_e_prime_v40,is_change_candidate,quality_tier,quality_note,signal_score,signal_score_reasons,setup_code,setup_note,holding_horizon_days,trade_style,entry_price,stop_price,target_price,signal_status
KMB,2026-04-24,v40,E,False,False,False,True,48.16830035252704,2.1072018520453355,0.003364285424640093,1.4976639768165458,-0.3511755948065722,0.19219742945070345,2.307687376555894,0.007245520939913597,-1.906850049948361,0.5859371936438817,-0.9777483785007488,RANGE,US_OR_OTHER,False,False,True,False,,False,False,AVOID,Patrón despriorizado o desactivado por falta de evidencia suficiente.,5,"quality=AVOID,pattern_E_disabled",DISABLED,Patrón desactivado por falta de evidencia suficiente.,0,disabled,,,,disabled
MCD,2026-04-24,v40,B,False,True,False,False,37.51423835242215,4.9056163746931,-1.4856692151764492,-0.025851976791188218,-0.5972793161068736,0.0285354826320133,2.6462304377422377,-2.376705750142938,-4.008941738356331,-2.0675240367864167,0.8609703317998191,DOWN,US_OR_OTHER,False,True,False,False,,False,False,AVOID,Patrón despriorizado o desactivado por falta de evidencia suficiente.,0,"quality=AVOID,disabled_pattern_family_penalty",DISABLED,Patrón desactivado por falta de evidencia suficiente.,0,disabled,,,,disabled
MRK,2026-04-24,v40,B,False,True,False,False,37.9025574785791,2.944817929520639,-1.7126110096047464,-0.00987169757823197,-0.6248251613267404,0.13583234531040056,4.42025815951727,-4.312625307281626,-3.9623884526201802,-7.840550804341284,-1.2680335176806317,DOWN,US_OR_OTHER,False,True,False,False,,False,False,AVOID,Patrón despriorizado o desactivado por falta de evidencia suficiente.,0,"quality=AVOID,disabled_pattern_family_penalty",DISABLED,Patrón desactivado por falta de evidencia suficiente.,0,disabled,,,,disabled
NFLX,2026-04-24,v40,B_D,False,True,True,False,40.753728623458535,3.1117179684217176,-1.4533918212101604,1.3256106462035653,-0.043382629211874225,0.20567397050223324,6.45362145778134,-4.664218859538394,-2.69341028194261,-10.261139186120438,-0.7609909787702861,DOWN,US_OR_OTHER,False,True,False,False,,False,False,AVOID,Patrón despriorizado o desactivado por falta de evidencia suficiente.,0,"quality=AVOID,disabled_pattern_family_penalty",DISABLED,Patrón desactivado por falta de evidencia suficiente.,0,disabled,,,,disabled
NKE,2026-04-24,v40,D,False,False,True,False,35.06820651293175,1.5036436043428294,-1.3222107766580902,3.1335981659648895,-0.1928654600663143,0.06650410631367078,7.545426109164111,-4.259240195561365,-13.253555342836643,4.856874112391418,-1.2698798721562226,RANGE,US_OR_OTHER,False,False,True,False,,False,False,AVOID,Patrón D fuera del nicho EU táctico queda desactivado.,7,"quality=AVOID,pattern_D_weak_base,range_penalty",DISABLED,Patrón desactivado por falta de evidencia suficiente.,0,disabled,,,,disabled
NOW,2026-04-24,v40,B_D,False,True,True,False,41.440055257539996,6.253002945458645,-1.1267849494378173,1.1221626120331292,0.7020625814412524,0.1327365168854576,4.27279140023801,-7.247577547711225,-14.981133134251689,8.6385520107775,0.17516634608688222,RANGE,US_OR_OTHER,False,False,True,False,,False,False,AVOID,Patrón despriorizado o desactivado por falta de evidencia suficiente.,0,"quality=AVOID,disabled_pattern_family_penalty",DISABLED,Patrón desactivado por falta de evidencia suficiente.,0,disabled,,,,disabled
ORLY,2026-04-24,v40,E,False,False,False,True,51.48514004247808,1.8538664386913808,0.12554138732979794,1.285043026188532,0.30746535075447257,0.4854685740574077,2.2405066212023153,0.2505315699451005,0.17582005233358622,0.12901313238518064,0.48396449052165924,UP,US_OR_OTHER,True,False,False,False,,False,False,AVOID,Patrón despriorizado o desactivado por falta de evidencia suficiente.,5,"quality=AVOID,pattern_E_disabled",DISABLED,Patrón desactivado por falta de evidencia suficiente.,0,disabled,,,,disabled
PDD,2026-04-24,v40,B,False,True,False,False,42.48782372414992,3.1794075944784774,-0.8941028919065446,0.3095709768433244,0.08177691236631686,0.23900531848345097,2.5003106516115823,-2.818123303236697,-4.444409464509203,-2.1363676038399837,-1.1517615777952028,DOWN,US_OR_OTHER,False,True,False,False,,False,False,AVOID,Patrón despriorizado o desactivado por falta de evidencia suficiente.,0,"quality=AVOID,disabled_pattern_family_penalty",DISABLED,Patrón desactivado por falta de evidencia suficiente.,0,disabled,,,,disabled
PEP,2026-04-24,v40,E,False,False,False,True,48.26097399410478,3.078201799226575,-0.13968964293509545,0.8353131065400838,-0.2728854028029226,0.24527465450842162,1.8863350602048048,-0.27586637777599066,-0.46513762551125826,-1.0314498550677342,-0.9398489027704664,DOWN,US_OR_OTHER,False,True,False,False,,False,False,AVOID,Patrón despriorizado o desactivado por falta de evidencia suficiente.,5,"quality=AVOID,pattern_E_disabled",DISABLED,Patrón desactivado por falta de evidencia suficiente.,0,disabled,,,,disabled
REGN,2026-04-24,v40,E,False,False,False,True,48.148197000604625,19.089601727091342,-0.16567712461399867,0.8789543192230687,-0.44160128620272254,0.7705777303766513,2.2624234882850542,-0.4190503803817247,-0.7359082441230069,0.3605448508601006,0.8240456315582532,RANGE,US_OR_OTHER,False,False,True,False,,False,False,AVOID,Patrón despriorizado o desactivado por falta de evidencia suficiente.,5,"quality=AVOID,pattern_E_disabled",DISABLED,Patrón desactivado por falta de evidencia suficiente.,0,disabled,,,,disabled
ROP,2026-04-24,v40,E,False,False,False,True,46.675093039410456,10.017293969261338,-0.38938906555388214,0.8520694515807643,-0.9194091221980238,0.4122874795813785,2.316481104522786,-1.0916926908706936,-2.1240059699261904,2.987031963372866,0.16300182920442374,RANGE,US_OR_OTHER,False,False,True,False,,False,False,AVOID,Patrón despriorizado o desactivado por falta de evidencia suficiente.,5,"quality=AVOID,pattern_E_disabled",DISABLED,Patrón desactivado por falta de evidencia suficiente.,0,disabled,,,,disabled
SNOW,2026-04-24,v40,B,False,True,False,False,41.422809918828634,9.198422701327182,-0.9042875671764592,1.3118898343096959,-0.2380829033113697,0.6544604947968252,3.7447315659914384,-5.596158315685806,-13.62358562959638,15.861618872971306,1.211381829270822,RANGE,US_OR_OTHER,False,False,True,False,,False,False,AVOID,Patrón despriorizado o desactivado por falta de evidencia suficiente.,0,"quality=AVOID,disabled_pattern_family_penalty",DISABLED,Patrón desactivado por falta de evidencia suficiente.,0,disabled,,,,disabled
T,2026-04-24,v40,B,False,True,False,False,41.796090394241155,0.6850389814862713,-0.8413561132085111,2.2653014232632027,-0.3284462347426325,0.24816117168268365,7.007832087568384,-2.1525019871798556,-3.068740652482138,-0.98260895891632,-1.557892315352574,DOWN,US_OR_OTHER,False,True,False,False,,False,False,AVOID,Patrón despriorizado o desactivado por falta de evidencia suficiente.,0,"quality=AVOID,disabled_pattern_family_penalty",DISABLED,Patrón desactivado por falta de evidencia suficiente.,0,disabled,,,,disabled
TMO,2026-04-24,v40,B_D,False,True,True,False,37.155267475766244,16.92297349717246,-1.8814947526931258,0.48990408818349107,0.03309096706245602,0.2656149711478622,4.709412990114066,-6.348411032711699,-8.025284458119408,-5.3213994227058965,0.06874459731583808,DOWN,US_OR_OTHER,False,True,False,False,,False,False,AVOID,Patrón despriorizado o desactivado por falta de evidencia suficiente.,0,"quality=AVOID,disabled_pattern_family_penalty",DISABLED,Patrón desactivado por falta de evidencia suficiente.,0,disabled,,,,disabled
TMUS,2026-04-24,v40,B_D,False,True,True,False,37.08650307549927,6.052597232606926,-1.31162982633115,0.8910986934846896,-0.6790474324327884,0.3230021354341209,4.564803442869929,-4.014775176708119,-6.302749756250082,-3.0197759232362342,0.39050487932044925,DOWN,US_OR_OTHER,False,True,False,False,,False,False,AVOID,Patrón despriorizado o desactivado por falta de evidencia suficiente.,0,"quality=AVOID,disabled_pattern_family_penalty",DISABLED,Patrón desactivado por falta de evidencia suficiente.,0,disabled,,,,disabled
VRTX,2026-04-24,v40,B_D,False,True,True,False,39.673250861891205,10.504806288355748,-1.0653286129011064,0.09933145426184188,-0.15611750334485494,0.27701640394216726,1.8910296339193695,-2.5348924875344347,-4.482382058501422,-1.3707063560043808,0.20826095810615816,DOWN,US_OR_OTHER,False,True,False,False,,False,False,AVOID,Patrón despriorizado o desactivado por falta de evidencia suficiente.,0,"quality=AVOID,disabled_pattern_family_penalty",DISABLED,Patrón desactivado por falta de evidencia suficiente.,0,disabled,,,,disabled
WFC,2026-04-24,v40,B,False,True,False,False,43.29903164276369,2.082685421200578,-0.8742734400134202,1.418020253072006,-0.33130420676229316,0.08162450613752119,4.822420595130335,-2.2412824215931937,-3.6067778791095795,-7.002345726096348,-0.6477581120925096,DOWN,US_OR_OTHER,False,True,False,False,,False,False,AVOID,Patrón despriorizado o desactivado por falta de evidencia suficiente.,0,"quality=AVOID,disabled_pattern_family_penalty",DISABLED,Patrón desactivado por falta de evidencia suficiente.,0,disabled,,,,disabled
XOM,2026-04-24,v40,B,False,True,False,False,41.73542521545548,4.6262456129116485,-0.8828421634637906,1.949497929703518,-0.15779441660029386,0.4235622873889872,6.9409856543462185,-2.669541325720348,-1.7287671406584826,-2.360495032714205,-0.7933093588181769,DOWN,US_OR_OTHER,False,True,False,False,,False,False,AVOID,Patrón despriorizado o desactivado por falta de evidencia suficiente.,0,"quality=AVOID,disabled_pattern_family_penalty",DISABLED,Patrón desactivado por falta de evidencia suficiente.,0,disabled,,,,disabled
